!Keysight Technologies,E4990A,MY54302406,A.03.06
!Date: Wed May 14 20:13:48 2025

BEGIN CH1_DATA
Frequency(Hz), |Z|(Ohm)-data
+3.99091152300e+006, +1.06596395462e+002
+4.26154373400e+006, +8.46456667034e+001
+4.55052809200e+006, +6.29946226356e+001
+4.85910909500e+006, +4.15127111856e+001
+5.18861563300e+006, +2.09355755181e+001
+5.54046671100e+006, +1.38872533234e+001
+5.91617756000e+006, +3.35331872128e+001
+6.31736616200e+006, +5.96422443684e+001
+6.74576021800e+006, +9.01520441956e+001
+7.20320458700e+006, +1.26802377474e+002
+7.69166923400e+006, +1.74320710532e+002
+8.21325770800e+006, +2.43884298067e+002
+8.77021620800e+006, +3.72093073930e+002
+9.36494325000e+006, +7.62260085513e+002
+1.00000000000e+007, +1.16670684074e+003
END
